id,ejecutivo_usuario,ejecutivo_nombre,departamento,imei,marca,modelo,cliente_nombre,cliente_cedula,cliente_telefono,numero_referencia,cliente_direccion,pedido,tarjeta_sim,sim_number,envio_correo,direccion_envio,metodo_entrega,observaciones,status,fecha_solicitud,fecha_aprobacion,supervisor_usuario,supervisor_nombre,motivo_rechazo,usuario
REQ-20251009-96E1ACC7,ejecutivo1,Test Ejecutivo 1,Ventas,990000000000001,Samsung,Galaxy A54,Cliente Test 1,100000001,60000001,REF0001,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 1,pendiente,2025-10-09T19:39:55.679551,,,,,ejecutivo1
REQ-20251009-AA315439,ejecutivo2,Test Ejecutivo 2,Ventas,990000000000002,Samsung,Galaxy A54,Cliente Test 2,100000002,60000002,REF0002,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 2,pendiente,2025-10-09T19:39:55.679551,,,,,ejecutivo2
REQ-20251009-687C556D,ejecutivo3,Test Ejecutivo 3,Ventas,990000000000003,Samsung,Galaxy A54,Cliente Test 3,100000003,60000003,REF0003,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 3,pendiente,2025-10-09T19:39:55.679551,,,,,ejecutivo3
REQ-20251009-90F9A97E,ejecutivo4,Test Ejecutivo 4,Ventas,990000000000004,Samsung,Galaxy A54,Cliente Test 4,100000004,60000004,REF0004,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 4,pendiente,2025-10-09T19:39:55.683216,,,,,ejecutivo4
REQ-20251009-8B92F247,ejecutivo5,Test Ejecutivo 5,Ventas,990000000000005,Samsung,Galaxy A54,Cliente Test 5,100000005,60000005,REF0005,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 5,pendiente,2025-10-09T19:39:55.683216,,,,,ejecutivo5
REQ-20251009-3BF812FD,ejecutivo6,Test Ejecutivo 6,Ventas,990000000000006,Samsung,Galaxy A54,Cliente Test 6,100000006,60000006,REF0006,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 6,pendiente,2025-10-09T19:39:55.683216,,,,,ejecutivo6
REQ-20251009-D3CE529D,ejecutivo7,Test Ejecutivo 7,Ventas,990000000000007,Samsung,Galaxy A54,Cliente Test 7,100000007,60000007,REF0007,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 7,pendiente,2025-10-09T19:39:55.683216,,,,,ejecutivo7
REQ-20251009-F50490FA,ejecutivo8,Test Ejecutivo 8,Ventas,990000000000008,Samsung,Galaxy A54,Cliente Test 8,100000008,60000008,REF0008,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 8,pendiente,2025-10-09T19:39:55.683216,,,,,ejecutivo8
REQ-20251009-E2C5BC41,ejecutivo9,Test Ejecutivo 9,Ventas,990000000000009,Samsung,Galaxy A54,Cliente Test 9,100000009,60000009,REF0009,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 9,pendiente,2025-10-09T19:39:55.683216,,,,,ejecutivo9
REQ-20251009-ACF6BB9D,ejecutivo10,Test Ejecutivo 10,Ventas,990000000000010,Samsung,Galaxy A54,Cliente Test 10,100000010,60000010,REF0010,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 10,pendiente,2025-10-09T19:39:55.686943,,,,,ejecutivo10
REQ-20251009-79F478B5,ejecutivo11,Test Ejecutivo 11,Ventas,990000000000011,Samsung,Galaxy A54,Cliente Test 11,100000011,60000011,REF0011,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 11,pendiente,2025-10-09T19:39:55.686943,,,,,ejecutivo11
REQ-20251009-585B9C79,ejecutivo12,Test Ejecutivo 12,Ventas,990000000000012,Samsung,Galaxy A54,Cliente Test 12,100000012,60000012,REF0012,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 12,pendiente,2025-10-09T19:39:55.686943,,,,,ejecutivo12
REQ-20251009-C7604BEF,ejecutivo13,Test Ejecutivo 13,Ventas,990000000000013,Samsung,Galaxy A54,Cliente Test 13,100000013,60000013,REF0013,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 13,pendiente,2025-10-09T19:39:55.686943,,,,,ejecutivo13
REQ-20251009-A3D79E9C,ejecutivo14,Test Ejecutivo 14,Ventas,990000000000014,Samsung,Galaxy A54,Cliente Test 14,100000014,60000014,REF0014,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 14,pendiente,2025-10-09T19:39:55.689837,,,,,ejecutivo14
REQ-20251009-88D39105,ejecutivo15,Test Ejecutivo 15,Ventas,990000000000015,Samsung,Galaxy A54,Cliente Test 15,100000015,60000015,REF0015,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 15,pendiente,2025-10-09T19:39:55.691016,,,,,ejecutivo15
REQ-20251009-648F3703,ejecutivo16,Test Ejecutivo 16,Ventas,990000000000016,Samsung,Galaxy A54,Cliente Test 16,100000016,60000016,REF0016,Dirección Test,No,False,,False,,ejecutivo_sitio,Test .exe 16,pendiente,2025-10-09T19:39:55.691016,,,,,ejecutivo16
REQ-20251011-643984CE,Mamira1,Marco Vinicio Miranda Álvarez,EVE,862297082894618,HONOR,HONOR 400 512GB NEGRO MEDIANOCHE,Gabriela Sofía Castro Salas,,,,,KO-82364017,True,89506010425111987654,False,,ejecutivo_sitio,,pendiente,2025-10-11T16:29:57.519789,,,,,MMirandaA@ice.go.cr
,,,,,,,,,,,,,,,,,,,,,,,,,-
